draft_pick,team,name,pos,age,ht,wt,college,college/yrs,meets,draft_value_score,draft_round,is_early_pick,age_normalized,college_years_numeric,college_years_normalized,age_experience_ratio,height_numeric,weight_numeric,bmi,position,position_tier,is_qb,is_defensive,meets_numeric,meets_normalized,college_frequency,college_frequency_normalized,scout_grade,position_avg_pick,pick_vs_position_avg,draft_predictability,pos_tier_LINE,pos_tier_OTHER,pos_tier_SKILL
1,DET,Matthew Stafford,QB,21.0,2025.0,0,2,15,126.0,0.99609375,1,1,0.2,15,1.0,1.4,2025.0,0,0.0,QB,SKILL,1,0,126.0,1.0,14,0.029345372460496615,76.43065744920993,129.25,-128.25,0.9922630560928434,False,False,True
2,STL,Jason Smith,T,23.0,2012.0,0,0,2,10.0,0.9921875,1,1,0.6,2,0.13333333333333333,11.5,2012.0,0,0.0,T,OTHER,0,0,10.0,0.07936507936507936,444,1.0,69.27480158730158,110.17073170731707,-108.17073170731707,0.9818463582023467,False,True,False
3,KAN,Tyson Jackson,DE,23.0,2016.0,0,0,7,34.0,0.98828125,1,1,0.6,7,0.4666666666666667,3.2857142857142856,2016.0,0,0.0,DE,LINE,0,1,34.0,0.2698412698412698,444,1.0,72.92807539682539,119.0377358490566,-116.0377358490566,0.9747979077508322,True,False,False
4,SEA,Aaron Curry,LB,23.0,2012.0,0,0,3,16.0,0.984375,1,1,0.6,3,0.2,7.666666666666667,2012.0,0,0.0,LB,OTHER,0,0,16.0,0.12698412698412698,444,1.0,69.91468253968254,117.67796610169492,-113.67796610169492,0.9660089298574104,False,True,False
5,NYJ,Mark Sanchez,QB,22.0,2018.0,0,0,4,32.0,0.98046875,1,1,0.4,4,0.26666666666666666,5.5,2018.0,0,0.0,QB,SKILL,1,0,32.0,0.25396825396825395,444,1.0,76.29811507936508,129.25,-124.25,0.9613152804642167,False,False,True
6,CIN,Andre Smith,T,22.0,2021.0,0,0,8,41.0,0.9765625,1,1,0.4,8,0.5333333333333333,2.75,2021.0,0,0.0,T,OTHER,0,0,41.0,0.3253968253968254,444,1.0,77.5704365079365,110.17073170731707,-104.17073170731707,0.9455390746070401,False,True,False
7,OAK,Darrius Heyward-Bey,WR,22.0,2018.0,0,0,5,23.0,0.97265625,1,1,0.4,5,0.3333333333333333,4.4,2018.0,0,0.0,WR,SKILL,0,0,23.0,0.18253968253968253,444,1.0,74.55704365079364,129.13846153846154,-122.13846153846154,0.9457946152013342,False,False,True
8,JAX,Eugene Monroe,T,22.0,2015.0,0,0,6,32.0,0.96875,1,1,0.4,6,0.4,3.6666666666666665,2015.0,0,0.0,T,OTHER,0,0,32.0,0.25396825396825395,444,1.0,75.82936507936508,110.17073170731707,-102.17073170731707,0.9273854328093868,False,True,False
9,GNB,B.J. Raji,DT,23.0,2015.0,0,1,5,33.0,0.96484375,1,1,0.6,5,0.3333333333333333,4.6,2015.0,0,0.0,DT,LINE,0,1,33.0,0.2619047619047619,26,0.056433408577878104,52.960513409652805,118.3076923076923,-109.3076923076923,0.923927178153446,True,False,False
10,SFO,Michael Crabtree,WR,21.0,2019.0,0,0,10,53.0,0.9609375,1,1,0.2,10,0.6666666666666666,2.1,2019.0,0,0.0,WR,SKILL,0,0,53.0,0.42063492063492064,444,1.0,82.85019841269842,129.13846153846154,-119.13846153846154,0.9225637360019061,False,False,True
11,BUF,Aaron Maybin,DE,21.0,2012.0,0,0,0,5.0,0.95703125,1,1,0.2,0,0.0,21.0,2012.0,0,0.0,DE,LINE,0,1,5.0,0.03968253968253968,444,1.0,75.0749007936508,119.0377358490566,-108.0377358490566,0.9075923284197178,True,False,False
12,DEN,Knowshon Moreno,RB,22.0,2014.0,0,0,3,33.0,0.953125,1,1,0.4,3,0.2,7.333333333333333,2014.0,0,0.0,RB,SKILL,0,0,33.0,0.2619047619047619,444,1.0,75.36309523809524,136.73684210526315,-124.73684210526315,0.9122401847575058,False,False,True
13,WAS,Brian Orakpo,LB,23.0,2018.0,0,4,8,58.0,0.94921875,1,1,0.6,8,0.5333333333333333,2.875,2018.0,0,0.0,LB,OTHER,0,0,58.0,0.4603174603174603,4,0.006772009029345372,55.310539386936114,117.67796610169492,-104.67796610169492,0.8895290220365836,False,True,False
14,NOR,Malcolm Jenkins,DB,21.0,2021.0,0,3,12,68.0,0.9453125,1,1,0.2,12,0.8,1.75,2021.0,0,0.0,DB,OTHER,0,1,68.0,0.5396825396825397,9,0.01805869074492099,64.96732460854922,129.9814814814815,-115.9814814814815,0.8922923493375124,False,True,False
